1830;2394
1831;2874
1832;1917
1833;2394
1850;14850
1855;45031
1858;458285
1859;704457
1860;732653
1861;610537
1862;652634
1863;717183
1864;696919
1865;831913
1866;1209802
1867;640584
1868;530818
1869;752382
1870;682223
1871;907102
1872;980265
1873;937151
1874;1642245
1875;2711942
1876;2820634
1877;2902732
1878;5477012
1879;5690505
1880;6211425
1881;6371578
1882;6901475
1883;7632929
1884;8217833
1885;8567155
1886;9143532
1887;10569025
1888;11750825
1889;13819326
1890;15128221
1891;17249326
1892;18323509
1893;20470128
1894;22806617
1895;26372374
1896;28100072
1897;30567185
1898;36578548
1899;38846373
1900;44119427
1901;50483996
1902;52619952
1903;57142089
1904;64124574
1905;65417968
1906;87527399
1907;94294143
1908;106136979
1909;105951259
1910;104674490
1911;121138630
1912;112716931
1913;124070544
1914;131447642
1915;127501520
1916;137918471
1917;149998088
1918;153275470
1919;169919363
1920;162005900
1921;158416551
1922;168042985
1923;184953905
1924;199653142
1925;202835344
1926;204900951
1927;224699438
1928;235121388
1929;246093757
1930;246557694
1931;237337417
1932;237432769
1933;261528881
1934;296937540
1935;322726372
1936;354201472
1937;375599676
1938;389285021
1939;412157752
1940;467790981
1941;472586208
1942;433908067
1943;428679468
1944;435865250
1945;323129099
1946;311410444
1947;372868560
1948;370219312
1949;456735655
1950;476121837
1951;456067222
1952;505794625
1953;541411695
1954;593297587
1955;676212146
1956;750836884
1957;845232786
1958;1139732611
1959;1375521891
1960;1540394483
1961;1395308133
1962;1344445545
1963;1425118416
1964;1509494689
1965;1652064447
1966;1799358286
1967;1827449007
1968;2018387350
1969;2291939814
1970;2699300836
1971;2953833259
1972;3124009857
1973;3355519482
1974;3415347407
1975;3581002878
1976;3806119266
1977;4050961252
1978;4232254059
1979;4405939806
1980;4400904783
1981;4374459208
1982;4524213069
1983;4706386594
1984;4980670654
1985;5272290607
1986;5498752809
1987;5735493718
1988;6205031052
1989;6421483079
1990;6625837983
1991;6956347159
1992;7269585454
1993;7600515327
1994;7931294332
1995;8251608613
1996;8579100358
1997;8691038455
1998;8421433438
1999;8678316711
2000;9091054959
2001;9259171838
2002;9779534328
2003;10716110297
2004;11681500681
2005;12522218780
2006;13363127459
2007;14080908201
2008;14811211177
2009;15412299488
2010;16530950685
2011;17746631804
2012;18456299828
2013;18714335123
2014;19018801891
2015;19135910319
2016;19218166352
2017;19653512867
2018;20254370026
2019;20608592701
2020;20317058379
